N,P,K,temperature,humidity,ph,rainfall,label
21.58,41.46,54.03,21.72,70.91,7.11,153.94,apple
40.18,51.96,45.34,20.84,72.09,6.6,142.65,apple
36.41,48.08,46.78,19.47,66.31,6.73,152.5,apple
28.29,47.11,49.67,24.76,67.03,6.6,171.38,apple
32.24,49.66,48.1,25.7,71.62,7.02,155.15,apple
30.07,46.55,54.06,23.46,69.75,7.11,127.12,apple
22.89,45.41,46.07,23.21,70.19,6.87,147.78,apple
32.85,46.97,52.1,26.03,70.73,6.78,137.15,apple
27.34,41.03,51.25,20.78,72.39,6.7,157.34,apple
31.24,40.04,43.85,18.59,69.26,6.56,152.26,apple
32.08,45.29,47.16,23.99,71.73,6.61,153.06,apple
31.56,44.87,52.99,24.38,68.38,6.67,170.07,apple
35.34,46.69,45.68,19.49,67.0,6.78,165.13,apple
24.51,42.22,49.16,19.7,73.31,6.59,178.86,apple
27.33,36.87,43.71,21.81,68.83,6.64,165.01,apple
29.14,41.67,37.45,22.78,69.73,7.18,145.91,apple
20.96,45.09,47.73,19.98,65.41,7.16,181.21,apple
17.56,39.71,54.32,21.05,68.53,6.62,143.19,apple
21.48,47.26,36.79,22.49,72.66,6.26,146.14,apple
36.07,44.66,42.91,24.4,73.62,6.78,146.5,apple
27.93,43.43,45.06,23.88,65.41,6.25,162.71,apple
27.54,38.86,37.16,22.04,69.84,6.9,161.03,apple
29.34,47.89,39.44,23.07,64.99,6.45,141.81,apple
33.91,41.67,45.93,19.79,69.1,6.47,165.75,apple
25.04,48.65,37.62,20.39,75.03,6.57,140.28,apple
31.1,39.62,41.82,19.81,78.31,6.62,131.12,apple
37.47,45.06,42.17,20.13,72.02,6.63,131.11,apple
38.94,39.83,53.48,24.56,67.0,7.01,150.23,apple
20.67,39.88,47.99,21.07,69.08,7.04,161.6,apple
25.78,45.51,46.99,16.96,71.29,6.82,160.3,apple
34.46,38.64,47.68,18.87,71.22,7.29,145.08,apple
26.2,38.45,46.65,19.87,71.26,6.95,168.02,apple
21.16,46.98,50.69,23.66,71.12,6.77,175.49,apple
39.62,37.23,51.39,21.83,69.61,6.24,155.73,apple
25.01,39.68,40.51,21.1,68.78,6.73,135.78,apple
22.77,43.81,42.01,24.15,70.68,6.88,181.16,apple
28.45,39.13,50.36,23.02,69.44,7.12,156.82,apple
30.16,42.11,41.33,22.16,74.19,6.83,160.47,apple
29.19,43.65,49.75,23.22,69.0,6.8,167.2,apple
24.96,42.84,35.19,22.97,71.98,6.92,154.07,apple
31.55,49.12,53.07,21.94,70.42,7.03,137.49,apple
28.38,48.68,50.88,22.74,65.48,6.69,151.15,apple
31.66,37.95,40.87,17.87,73.67,6.58,162.36,apple
29.99,36.66,39.7,19.99,67.83,6.81,148.06,apple
38.73,47.14,50.04,21.76,74.54,6.63,159.53,apple
30.85,45.51,49.18,21.05,68.4,6.89,170.73,apple
28.03,34.06,44.96,23.25,75.42,6.34,153.6,apple
28.05,48.78,45.83,20.19,71.68,6.58,141.63,apple
25.54,50.67,47.92,22.22,69.25,6.79,164.2,apple
31.46,42.57,50.34,22.05,67.07,6.52,130.31,apple
40.13,46.31,41.85,21.44,68.09,7.16,138.7,apple
30.57,41.46,50.13,21.79,64.73,6.62,145.42,apple
30.4,49.17,37.3,20.4,68.34,6.59,171.1,apple
29.13,44.08,42.87,22.46,72.33,6.48,171.72,apple
30.26,47.23,44.99,22.76,69.88,6.67,163.88,apple
32.68,35.75,53.17,18.28,67.95,6.67,166.19,apple
37.88,32.71,43.46,17.75,70.09,6.78,183.86,apple
30.6,47.22,48.92,21.13,65.77,6.78,137.62,apple
36.48,41.19,51.98,21.04,70.81,6.76,159.32,apple
27.84,43.96,41.37,19.58,73.73,6.92,160.99,apple
38.33,40.66,52.61,22.35,66.93,7.25,174.86,apple
29.39,45.64,43.98,23.66,62.83,6.39,174.69,apple
28.75,43.04,39.27,25.7,73.57,6.64,153.93,apple
35.15,51.91,50.77,26.34,67.23,6.45,142.17,apple
32.21,42.88,45.24,23.62,73.7,6.24,151.05,apple
34.1,39.66,42.01,24.04,66.13,6.61,164.93,apple
27.13,45.92,43.16,24.82,69.62,6.9,171.19,apple
26.86,31.73,47.8,22.14,71.67,6.63,153.54,apple
40.04,34.64,49.67,20.85,68.99,6.6,147.95,apple
32.86,48.95,48.35,22.21,67.04,6.86,192.35,apple
28.1,40.12,43.19,21.02,61.76,6.82,147.32,apple
21.95,45.77,40.59,21.32,74.4,6.28,137.01,apple
31.35,47.75,38.13,22.82,71.74,6.08,171.98,apple
34.38,40.44,52.26,24.27,70.31,6.56,145.41,apple
29.81,44.85,44.38,17.6,73.81,6.76,154.31,apple
34.29,49.62,31.99,22.87,65.72,6.85,161.92,apple
33.18,39.5,36.63,21.1,71.22,7.0,142.42,apple
35.14,38.76,47.81,20.98,70.55,6.97,141.59,apple
26.6,42.92,58.01,20.27,76.12,7.3,158.54,apple
28.51,38.54,45.66,19.19,69.77,7.15,150.83,apple
28.8,33.49,47.87,22.53,70.19,6.63,155.61,apple
32.51,41.86,47.57,22.43,73.37,6.9,162.89,apple
37.59,44.1,52.52,23.21,64.47,7.09,162.03,apple
29.74,43.41,44.28,22.45,68.22,7.08,158.3,apple
28.09,37.38,47.34,22.37,71.17,6.39,135.98,apple
33.13,49.42,40.87,25.18,70.85,6.7,154.04,apple
23.08,46.94,42.12,20.44,72.98,6.14,137.15,apple
29.91,43.47,48.42,21.4,77.59,6.63,156.54,apple
26.02,42.62,49.07,24.41,65.53,6.63,166.7,apple
32.94,42.03,48.71,20.38,74.67,7.0,139.83,apple
24.62,36.77,49.39,19.43,69.01,6.84,159.01,apple
31.29,36.67,48.97,20.77,69.03,6.77,161.55,apple
30.12,38.25,44.5,22.0,65.87,6.56,165.82,apple
23.61,47.78,52.35,19.51,74.07,6.66,166.28,apple
27.52,46.62,48.03,20.37,66.5,6.26,162.82,apple
32.86,45.25,45.41,19.69,67.95,7.05,152.73,apple
30.72,36.62,47.68,21.08,73.14,6.93,152.56,apple
29.37,39.24,38.9,20.29,70.59,6.8,162.23,apple
28.49,46.67,46.32,23.41,64.68,5.52,164.26,apple
22.88,40.94,44.49,25.17,71.2,6.75,172.55,apple
31.84,39.71,51.36,19.78,70.97,6.24,163.06,apple
30.96,50.38,38.18,20.8,72.47,6.8,162.7,apple
25.22,39.05,52.23,21.9,71.13,6.67,142.25,apple
34.67,44.52,57.53,19.97,72.47,6.31,162.36,apple
34.88,31.64,44.98,20.87,67.89,6.82,176.81,apple
29.33,43.03,46.57,22.0,66.73,7.03,164.43,apple
31.97,37.97,43.7,21.65,65.4,6.19,150.99,apple
32.61,38.73,40.91,20.37,68.63,6.59,192.48,apple
35.27,47.12,51.84,20.0,66.33,6.37,180.02,apple
27.26,35.74,43.85,21.52,70.81,6.78,147.58,apple
33.43,38.8,45.22,23.37,68.07,6.53,168.88,apple
25.71,40.08,48.78,26.11,71.82,6.84,167.96,apple
24.63,42.58,45.85,22.64,70.35,6.81,155.33,apple
30.29,35.86,44.4,24.78,70.96,6.69,188.44,apple
23.2,36.45,54.56,22.09,69.27,6.34,166.72,apple
32.72,36.53,45.3,21.33,70.77,6.36,178.78,apple
34.58,40.18,44.92,21.73,67.67,6.57,155.95,apple
38.06,46.73,50.67,22.74,66.65,6.69,174.56,apple
23.71,45.18,57.61,24.12,74.24,6.77,174.52,apple
26.41,45.98,49.27,22.58,73.95,6.54,157.19,apple
30.48,36.85,47.13,18.56,73.14,6.71,152.19,apple
25.83,40.83,49.44,23.1,67.88,6.45,169.85,apple
26.39,42.3,46.62,22.62,72.57,6.32,131.33,apple
27.16,51.01,56.11,25.66,69.42,6.17,124.85,apple
26.93,41.01,52.5,23.74,70.68,6.43,145.59,apple
31.27,45.49,47.96,19.93,71.95,6.83,143.94,apple
26.08,45.44,44.83,25.18,71.5,6.55,159.85,apple
30.32,38.36,41.44,23.4,72.54,6.88,182.73,apple
27.29,50.37,41.5,19.97,64.72,6.57,152.44,apple
32.63,43.22,40.04,21.21,68.89,6.17,145.29,apple
26.15,49.17,46.96,23.32,65.5,7.06,179.52,apple
20.01,38.47,48.48,23.29,67.96,6.61,151.04,apple
30.55,47.99,42.14,24.0,67.65,6.45,172.28,apple
34.61,46.26,39.42,21.07,72.47,6.71,143.89,apple
32.29,38.43,54.97,25.09,71.81,7.11,160.97,apple
33.83,49.39,47.23,21.49,64.89,6.68,172.35,apple
34.73,44.52,43.29,18.05,68.51,6.61,155.31,apple
33.09,51.93,46.62,21.57,69.22,6.74,147.58,apple
30.6,44.25,47.05,22.92,71.3,6.17,169.55,apple
26.64,36.52,40.48,22.87,69.33,6.2,167.17,apple
22.8,42.7,47.19,23.77,75.35,6.29,159.21,apple
28.62,44.17,47.08,21.29,68.68,6.37,174.82,apple
32.3,46.59,44.45,20.69,66.77,6.81,144.4,apple
39.24,35.46,47.37,25.13,71.8,6.75,145.47,apple
23.09,45.85,53.53,21.12,66.58,5.96,145.29,apple
29.43,50.0,49.37,22.61,68.8,6.53,181.08,apple
31.0,31.49,42.63,20.28,68.36,6.87,158.39,apple
29.62,48.57,42.52,25.73,67.99,6.73,155.78,apple
30.62,44.22,48.17,20.49,66.63,7.45,152.74,apple
33.5,33.96,44.6,21.75,71.42,5.88,162.49,apple
24.25,43.62,40.82,20.29,69.18,6.38,152.87,apple
24.03,32.83,51.09,19.41,69.46,6.93,150.78,apple
25.87,43.13,51.59,19.66,69.55,6.18,154.1,apple
30.17,37.73,43.72,19.18,70.23,7.02,143.54,apple
26.89,44.51,52.06,19.01,69.49,6.78,158.47,apple
17.62,44.51,53.6,22.23,66.91,6.55,186.55,apple
34.55,45.2,47.78,20.68,69.4,6.68,168.24,apple
37.54,47.59,38.9,22.45,72.21,6.89,150.56,apple
44.57,35.61,40.58,22.47,76.35,6.45,156.01,apple
35.39,41.91,44.33,23.13,70.82,7.01,179.37,apple
31.54,43.46,47.07,22.98,70.17,6.7,177.95,apple
37.58,34.46,46.05,20.62,69.07,6.82,170.04,apple
29.44,32.43,41.17,23.79,61.78,7.06,167.82,apple
36.58,41.01,35.69,22.86,73.82,6.98,150.06,apple
30.43,39.34,41.9,23.91,66.41,6.43,143.44,apple
22.55,42.73,51.81,21.63,65.48,6.95,185.29,apple
26.77,39.61,48.58,25.24,68.44,6.3,169.47,apple
34.0,42.03,43.21,23.99,71.58,6.47,160.74,apple
23.24,45.43,44.69,21.13,69.9,6.71,173.42,apple
32.96,41.22,49.82,22.8,68.72,6.66,157.78,apple
32.53,40.16,44.05,25.94,72.82,6.47,168.56,apple
30.59,43.96,46.69,24.38,71.04,6.68,175.63,apple
31.17,42.61,47.57,21.81,70.03,6.52,148.73,apple
25.01,35.04,41.6,21.65,70.31,6.62,124.66,apple
37.87,47.43,48.23,25.81,67.07,7.27,145.52,apple
31.19,35.63,46.07,22.77,69.54,6.91,161.49,apple
27.39,39.17,50.05,20.69,72.75,7.07,134.97,apple
35.66,52.3,47.26,23.2,73.11,6.62,162.73,apple
23.43,42.69,48.49,23.03,73.2,6.47,152.01,apple
39.48,41.25,47.0,21.87,67.53,7.19,152.08,apple
24.36,39.75,35.99,20.7,67.1,6.89,149.9,apple
34.44,48.99,49.91,21.57,70.42,6.24,157.99,apple
25.7,45.47,58.86,23.0,64.03,6.59,161.84,apple
30.44,38.35,47.23,19.51,67.17,6.89,144.77,apple
32.69,35.15,54.82,20.45,69.33,6.8,151.52,apple
30.72,44.88,50.8,23.58,69.48,6.66,195.24,apple
34.75,37.39,46.5,21.33,69.59,6.33,153.82,apple
39.06,44.9,33.54,24.43,73.27,6.59,170.76,apple
25.7,39.65,53.49,21.46,64.39,6.68,158.82,apple
35.99,42.07,43.89,24.09,70.36,6.47,177.32,apple
30.97,42.01,46.89,19.86,68.42,6.7,157.08,apple
36.36,43.09,50.27,22.02,73.17,6.82,160.2,apple
29.93,37.23,48.53,21.92,68.49,7.03,141.25,apple
27.89,47.14,47.58,21.9,70.75,6.75,137.25,apple
28.25,50.08,42.7,21.36,68.38,6.67,151.25,apple
32.43,42.99,49.87,19.9,68.98,6.63,166.83,apple
26.03,46.58,51.93,20.02,68.53,6.54,199.49,apple
27.85,50.39,39.67,20.02,67.94,6.45,155.98,apple
26.46,37.9,51.79,24.45,72.85,6.86,161.39,apple
27.51,37.23,47.81,19.65,67.02,7.05,188.51,apple
31.97,47.53,44.77,19.32,71.84,6.87,161.08,apple
28.79,46.81,41.07,20.45,66.98,6.73,143.68,apple
26.58,38.47,44.7,19.03,70.26,7.07,162.03,apple
89.71,46.67,44.89,30.15,73.07,6.63,174.12,cotton
72.59,42.46,35.34,28.08,73.0,6.37,158.82,cotton
82.83,44.83,35.36,32.54,68.32,7.04,173.83,cotton
82.73,30.54,40.69,30.46,72.74,6.23,165.8,cotton
87.65,40.15,48.7,28.95,71.7,6.64,155.66,cotton
75.93,45.49,35.14,26.36,78.61,5.98,182.76,cotton
82.35,25.95,39.66,30.9,74.06,6.67,174.19,cotton
85.56,36.55,33.95,27.4,68.61,6.7,157.28,cotton
83.37,38.67,40.49,32.73,71.68,6.58,180.56,cotton
81.24,51.5,33.79,32.58,74.97,6.26,204.44,cotton
72.76,37.39,34.96,30.82,69.66,6.53,177.2,cotton
79.6,41.94,39.66,27.82,81.4,6.25,146.74,cotton
77.79,33.66,45.13,30.64,74.2,6.29,175.81,cotton
80.15,39.59,45.18,30.67,74.5,6.55,193.27,cotton
83.44,41.79,46.94,28.67,70.43,6.04,182.74,cotton
72.73,42.31,40.45,32.27,70.98,6.34,196.83,cotton
88.92,36.6,41.91,30.59,74.12,6.32,199.22,cotton
72.55,37.89,43.24,30.91,77.06,6.76,175.72,cotton
88.5,36.43,45.65,33.62,76.64,6.43,175.02,cotton
74.36,41.55,35.42,28.41,69.43,6.26,179.58,cotton
83.37,37.0,46.35,29.58,70.64,6.47,209.45,cotton
83.68,38.19,33.36,29.56,73.7,6.28,155.02,cotton
77.75,47.27,48.17,28.23,75.02,6.05,201.06,cotton
83.23,44.75,32.42,31.36,72.98,6.66,193.72,cotton
82.33,37.0,44.9,29.88,70.38,6.12,157.84,cotton
79.45,45.51,41.89,28.94,75.41,6.15,181.43,cotton
81.1,43.9,33.11,28.3,68.09,6.32,198.17,cotton
79.47,37.45,45.36,32.14,72.73,6.61,163.85,cotton
88.89,50.74,43.61,25.83,71.33,6.58,173.68,cotton
88.36,42.94,37.47,30.06,70.32,6.35,171.68,cotton
87.87,50.58,33.84,26.15,72.26,5.94,180.69,cotton
85.74,47.47,42.01,29.61,67.06,6.41,181.07,cotton
85.19,36.46,38.82,27.04,66.13,6.07,156.45,cotton
83.68,37.41,38.31,28.03,63.3,6.85,165.0,cotton
79.94,32.73,45.86,30.29,70.52,6.28,205.17,cotton
81.64,39.09,36.29,26.21,72.52,6.5,196.49,cotton
70.76,34.37,38.1,29.99,72.56,6.36,186.12,cotton
77.48,44.67,43.17,29.36,77.8,6.87,193.99,cotton
66.91,47.89,44.97,34.01,76.71,6.87,193.18,cotton
88.74,49.97,42.08,26.86,72.08,6.52,181.12,cotton
75.77,31.84,37.29,31.62,77.74,6.67,195.86,cotton
81.6,31.29,38.72,29.48,71.51,6.42,186.62,cotton
86.27,38.61,31.48,29.03,73.13,6.77,171.48,cotton
84.56,41.45,41.22,31.86,71.02,6.23,179.82,cotton
78.8,42.54,37.43,30.45,72.7,6.46,173.1,cotton
80.3,40.48,42.01,29.99,78.12,6.1,179.04,cotton
74.13,41.86,35.42,29.44,71.88,6.48,171.71,cotton
79.02,47.18,42.42,28.88,72.25,6.89,176.47,cotton
78.55,36.58,38.25,28.81,69.16,6.06,167.56,cotton
84.96,38.09,39.96,32.54,76.89,6.32,170.54,cotton
77.68,43.46,39.98,29.23,70.56,6.17,184.8,cotton
75.42,44.97,38.33,29.7,68.99,6.4,175.08,cotton
81.75,47.36,41.89,28.41,70.87,6.58,199.48,cotton
83.41,43.44,44.05,32.84,67.15,6.6,194.76,cotton
75.31,35.57,36.75,28.54,71.55,6.47,192.99,cotton
87.41,35.81,36.78,32.63,74.94,6.42,187.1,cotton
81.85,42.62,39.32,30.54,68.47,6.19,169.84,cotton
80.13,35.37,38.33,26.97,74.65,6.38,154.42,cotton
77.83,41.68,38.28,28.61,72.78,6.5,158.45,cotton
84.75,36.0,40.91,29.93,71.42,6.09,175.71,cotton
90.13,33.19,49.46,29.48,73.11,6.07,168.43,cotton
79.49,34.77,39.96,29.19,78.55,6.05,181.54,cotton
83.24,34.65,44.43,29.2,65.52,6.6,163.25,cotton
76.76,43.44,39.26,31.84,76.63,6.21,191.9,cotton
78.22,51.17,37.54,32.05,75.53,6.49,169.94,cotton
81.24,29.23,42.12,30.7,73.4,5.51,161.02,cotton
78.26,41.46,42.45,29.66,74.91,6.09,189.15,cotton
84.37,41.89,40.09,33.66,74.48,6.11,183.72,cotton
85.76,37.06,46.45,30.76,65.97,6.49,173.91,cotton
84.69,44.72,41.98,33.33,72.46,6.59,192.07,cotton
81.51,43.89,38.03,29.15,69.06,6.47,184.88,cotton
87.9,43.96,39.58,27.64,74.3,6.73,191.33,cotton
87.42,38.94,38.67,28.53,72.83,6.38,183.1,cotton
81.35,39.33,37.12,31.88,73.23,6.35,168.79,cotton
75.34,46.54,43.77,26.75,75.29,6.68,181.87,cotton
89.99,41.08,33.92,30.73,73.73,6.22,188.6,cotton
73.66,44.95,36.61,28.03,72.66,6.53,182.46,cotton
78.29,37.47,35.33,29.55,76.23,6.4,192.89,cotton
89.28,37.06,40.07,34.34,77.33,5.9,185.81,cotton
82.0,44.13,37.28,28.32,70.97,6.23,192.23,cotton
76.09,36.89,32.05,32.01,76.81,6.3,175.53,cotton
84.27,47.37,43.04,28.6,68.14,6.07,181.1,cotton
78.72,40.97,38.24,27.88,69.47,6.87,193.33,cotton
90.65,42.7,38.85,32.65,72.9,6.47,179.36,cotton
67.27,48.02,43.46,30.66,72.81,6.45,171.04,cotton
85.08,33.46,41.93,31.12,72.4,6.51,165.13,cotton
77.17,41.18,44.39,26.25,74.57,6.24,177.11,cotton
75.3,35.74,45.83,30.07,71.85,6.37,187.34,cotton
84.2,39.62,46.46,31.94,74.24,6.42,189.86,cotton
83.57,45.3,45.5,27.96,69.74,6.19,194.64,cotton
74.12,41.97,42.81,32.33,73.54,6.0,165.61,cotton
76.09,37.31,40.09,27.67,77.41,6.0,200.19,cotton
87.93,44.49,37.53,30.68,69.17,6.67,178.89,cotton
79.95,33.88,28.61,27.92,76.34,6.28,177.46,cotton
85.28,49.03,47.63,28.06,67.17,7.11,214.03,cotton
82.94,33.65,45.82,29.78,72.66,6.67,185.02,cotton
76.07,38.38,44.31,31.02,73.79,6.68,174.57,cotton
82.89,23.12,38.75,31.53,71.83,6.26,164.38,cotton
87.02,42.74,45.13,26.55,72.52,6.32,175.79,cotton
78.92,38.27,45.25,26.17,78.33,6.55,179.37,cotton
86.53,32.74,37.68,29.76,77.1,6.39,186.75,cotton
79.05,42.43,49.39,31.99,72.76,6.6,188.66,cotton
84.53,45.56,46.52,29.75,74.93,6.29,166.15,cotton
80.65,39.62,32.69,31.72,64.7,7.21,202.53,cotton
80.69,40.05,42.51,28.82,73.58,6.36,178.59,cotton
82.91,33.43,41.2,30.33,73.39,6.34,197.07,cotton
80.23,41.14,47.49,29.84,73.64,6.37,198.56,cotton
80.71,46.42,40.48,28.28,75.04,6.31,189.31,cotton
68.35,40.03,38.7,27.87,71.34,6.23,179.28,cotton
75.16,41.58,47.83,30.56,75.43,6.73,198.55,cotton
91.35,37.5,37.41,31.57,75.12,6.63,208.34,cotton
82.06,42.13,36.1,34.27,71.99,6.31,174.8,cotton
78.78,36.35,38.38,27.27,70.64,6.98,191.03,cotton
86.63,45.89,50.17,26.46,69.31,6.16,172.95,cotton
80.5,37.77,42.1,30.07,70.83,5.75,165.11,cotton
79.25,38.76,35.35,29.02,69.61,6.36,163.9,cotton
77.76,33.46,40.23,28.27,75.72,6.52,178.95,cotton
78.01,41.9,44.45,30.29,77.81,6.54,193.7,cotton
82.67,43.38,37.02,29.08,74.05,6.5,187.61,cotton
87.5,32.88,36.13,30.46,70.83,7.41,187.74,cotton
81.61,37.42,38.6,30.06,73.34,6.26,175.9,cotton
88.72,46.92,42.26,27.32,74.62,6.87,200.55,cotton
85.67,47.11,41.27,31.26,70.96,6.49,199.94,cotton
79.05,35.69,41.49,29.55,74.95,6.26,205.78,cotton
75.55,46.27,37.18,26.41,73.71,6.32,163.36,cotton
73.59,39.96,45.88,31.17,73.17,6.54,179.59,cotton
74.85,32.9,39.98,29.68,75.55,6.63,189.08,cotton
80.6,33.1,43.06,31.05,65.83,6.15,169.63,cotton
82.59,35.98,40.81,29.58,72.52,6.19,170.42,cotton
76.6,41.9,43.86,28.46,77.56,6.31,202.95,cotton
78.79,29.87,43.01,30.5,73.1,6.21,179.48,cotton
79.44,38.49,45.21,30.37,74.83,6.33,174.87,cotton
76.23,38.15,24.39,28.82,72.75,6.57,175.97,cotton
83.74,29.1,40.72,26.64,69.38,6.34,199.14,cotton
83.86,40.09,40.9,28.57,71.37,6.53,159.22,cotton
84.97,38.06,45.13,31.92,67.98,6.23,167.17,cotton
72.94,34.84,53.21,31.22,78.75,6.65,168.87,cotton
80.09,42.94,43.19,28.85,68.47,7.39,177.88,cotton
80.37,40.57,39.79,30.25,76.86,6.36,162.56,cotton
81.19,37.68,48.12,32.34,73.32,6.02,161.61,cotton
82.08,41.68,39.13,29.04,71.22,6.39,144.26,cotton
76.49,36.86,47.04,28.37,73.54,6.47,199.47,cotton
88.31,39.71,38.62,28.67,72.28,6.27,188.3,cotton
84.1,42.96,47.3,33.73,73.37,6.73,174.73,cotton
87.93,45.31,46.04,30.19,70.99,5.98,179.4,cotton
89.67,38.45,44.93,31.69,72.15,6.79,136.37,cotton
75.89,35.42,36.9,30.67,73.87,6.52,188.94,cotton
77.25,33.91,42.98,28.74,68.29,6.69,200.93,cotton
89.79,40.94,44.13,32.74,71.08,6.73,184.13,cotton
86.57,40.93,47.48,30.45,68.55,6.84,165.79,cotton
88.27,39.55,46.88,32.27,74.29,6.55,186.34,cotton
71.93,40.59,35.42,30.34,69.57,6.04,204.07,cotton
87.35,39.98,41.92,29.5,74.71,6.2,194.91,cotton
80.73,37.9,41.11,28.82,73.99,6.24,187.03,cotton
88.08,36.4,40.35,30.92,71.69,6.54,188.33,cotton
87.42,36.97,36.29,29.38,70.1,6.57,162.57,cotton
93.67,46.48,41.06,31.73,68.09,7.16,171.15,cotton
81.4,30.72,43.43,27.79,73.3,6.24,163.83,cotton
77.98,41.13,34.59,28.5,74.99,7.18,187.16,cotton
77.41,38.16,41.16,29.3,75.71,6.47,193.62,cotton
80.43,46.63,40.17,28.06,79.53,5.85,168.92,cotton
78.86,52.54,50.03,32.99,72.01,7.13,185.53,cotton
86.89,40.9,40.75,29.5,72.37,6.58,185.51,cotton
81.84,47.55,26.17,31.02,75.15,6.74,179.03,cotton
83.04,44.93,48.46,29.4,73.8,6.9,148.14,cotton
78.55,47.33,46.46,31.04,71.65,6.14,171.13,cotton
89.74,36.86,41.51,28.49,75.53,6.24,178.54,cotton
73.58,31.93,41.04,27.35,79.32,5.78,168.0,cotton
82.08,38.17,35.48,28.08,70.03,6.31,209.28,cotton
82.39,45.91,43.53,32.23,64.6,6.31,199.61,cotton
79.14,48.81,48.42,29.06,71.49,6.1,170.56,cotton
75.84,42.14,33.72,31.21,74.88,5.9,203.25,cotton
84.57,43.75,37.21,31.24,76.38,6.37,210.03,cotton
82.22,45.7,42.47,31.17,67.99,6.51,168.98,cotton
77.77,48.72,39.93,27.99,71.92,6.01,201.51,cotton
78.52,42.65,47.78,29.0,74.6,6.09,216.69,cotton
86.68,39.04,37.14,29.77,71.98,6.99,161.62,cotton
82.67,39.91,40.41,29.78,72.65,6.66,189.13,cotton
84.09,24.83,42.5,26.69,74.94,6.84,166.11,cotton
80.69,37.0,47.18,30.19,78.18,6.52,183.64,cotton
82.34,44.09,32.31,30.17,72.79,6.62,177.18,cotton
76.81,40.04,35.59,26.15,75.18,6.57,187.01,cotton
88.51,36.67,33.84,29.86,71.96,6.15,178.8,cotton
78.94,30.82,38.79,27.73,73.69,6.2,196.67,cotton
90.02,43.4,33.24,33.01,77.73,6.41,199.84,cotton
79.24,30.67,37.2,33.46,68.53,6.4,180.51,cotton
79.44,37.78,41.36,28.88,68.73,6.46,196.1,cotton
86.35,35.95,34.74,29.43,77.7,6.59,190.56,cotton
86.45,42.1,41.6,31.32,71.36,5.98,190.84,cotton
88.19,34.41,45.11,33.36,72.99,6.15,181.85,cotton
79.25,36.92,43.17,26.79,68.67,6.41,179.67,cotton
83.72,49.38,41.52,31.2,70.07,6.63,172.1,cotton
82.36,39.46,46.16,27.38,66.15,6.34,187.03,cotton
82.76,46.16,43.19,28.87,66.02,6.33,195.42,cotton
80.04,40.14,43.11,27.97,74.87,6.89,177.41,cotton
76.35,39.67,29.88,30.67,74.36,6.9,177.09,cotton
84.04,35.69,39.22,26.95,72.42,6.31,184.49,cotton
78.88,40.42,39.33,29.34,73.24,6.41,191.42,cotton
81.4,38.25,40.1,28.57,71.92,7.01,166.31,cotton
80.61,38.06,39.76,29.34,73.84,5.89,195.56,cotton
85.16,33.79,29.65,28.05,72.27,7.17,188.15,cotton
72.96,36.55,40.73,30.51,69.06,6.36,169.24,cotton
76.48,41.3,44.87,31.68,74.72,6.25,190.72,cotton
83.55,40.67,37.94,29.01,73.22,7.13,184.52,cotton
78.94,35.84,38.54,34.35,71.8,6.67,174.36,cotton
83.31,43.96,38.14,28.72,77.98,6.7,191.86,cotton
85.94,42.3,51.09,30.09,74.73,5.96,167.63,cotton
76.0,46.37,28.24,29.2,64.02,6.15,172.64,cotton
88.92,41.98,36.83,32.13,73.05,6.41,161.96,cotton
77.05,35.87,41.23,30.16,77.63,6.52,139.39,cotton
83.31,32.75,36.17,28.38,71.01,5.99,183.05,cotton
74.95,41.78,52.18,27.34,72.15,5.64,175.49,cotton
85.21,43.6,41.39,31.78,80.64,6.91,172.16,cotton
74.74,37.97,36.27,30.9,69.46,6.38,192.57,cotton
81.5,35.27,46.87,26.24,72.02,6.39,180.24,cotton
82.9,43.05,40.82,29.26,71.78,6.22,191.81,cotton
78.77,44.23,41.09,28.96,74.86,6.18,189.57,cotton
83.06,37.02,43.64,31.09,76.47,6.69,187.37,cotton
76.36,52.24,33.98,31.9,74.29,6.05,178.14,cotton
81.61,46.53,37.43,29.48,65.99,6.92,163.94,cotton
83.63,39.49,40.51,31.62,78.01,6.48,189.83,cotton
83.64,45.09,38.69,32.15,76.33,6.72,170.1,cotton
81.16,41.2,34.15,33.19,72.96,6.49,171.34,cotton
75.37,36.98,42.1,31.35,73.49,6.5,174.94,cotton
84.48,47.41,44.52,31.62,73.88,5.95,164.33,cotton
84.27,39.95,43.2,33.35,75.18,6.78,181.42,cotton
77.96,39.71,36.98,33.12,75.37,6.56,198.54,cotton
71.9,42.94,34.45,29.99,72.06,6.6,183.42,cotton
88.73,36.99,44.55,30.32,68.09,6.12,177.75,cotton
87.56,42.32,35.16,29.72,79.05,6.43,175.09,cotton
84.46,43.82,38.72,31.01,72.01,6.62,182.55,cotton
84.41,36.2,36.89,31.89,72.76,6.49,175.4,cotton
86.49,36.96,40.32,31.57,76.52,6.24,209.4,cotton
83.57,34.79,42.85,29.23,74.3,6.39,181.11,cotton
77.44,44.95,35.22,27.78,74.1,6.88,174.71,cotton
85.5,45.37,45.07,29.38,69.73,5.74,176.06,cotton
87.89,34.38,44.5,28.1,73.32,6.61,170.11,cotton
82.85,37.92,44.53,30.47,73.17,6.87,189.93,cotton
78.55,39.57,40.62,30.16,80.57,6.51,149.46,cotton
79.29,30.34,39.35,26.03,70.39,5.94,185.76,cotton
